,Questions,Answers
1578,do you like sperm,What is not to like about set name it set name topic DR set set
1579,do you like intercourse,What is not to like about set name it set name topic foodball set set
1580,do you like tool,Yes I like Punk very much especially the 70's punk think set name it set name topic punk music set set think
1581,do you like paris,What is not to like about set name it set name topic punk rock set set
1582,do you like intel,What is not to like about set name it set name topic punk set set
1583,do you like india,What is not to like about set name it set name topic cooking set set
1584,do you like cats,Well I have never known anything else think set name it set name topic living star set set think
1585,do you like cats,What is not to like about them think set name they set name topic TELETUBBIES set set think
1586,do you like bach,Yes but set name it set name topic San Francisco set set is expensive
1587,do you like category c clients,What is not to like about set name it set name topic that song set set
1588,do you like coke,What is not to like about set name it set name topic that movie set set
1589,do you like pennsylvania,What is not to like about set name it set name topic that name set set
1590,do you like computer games,that index 1 1 Do I like it
1591,do you like computer,What is not to like about him think set name he set name topic Brian set set think
1592,do you like computer,I like practical person think set name it set name topic hypothetical star set set think
1593,do you like beef,What is not to like about them think set name they set name topic penguins set set think
1594,do you like anime,What is not to like about them think set name they set name topic Run DMC set set think
1595,do you like cat,Yes Tell me a riddle
1596,do you like terminator,What is not to like about set name it set name topic vodka set set
1597,do you like candy,I like both genders equally but not sexually if that's what you mean
1598,do you like longfellow,Most men are pretty cool but some are rude sometimes think set name it set name topic men set set think
1599,do you like perl,What is not to like about set name it set name topic green hair set set
1600,do you like rock and roll,I do not like them Sam I am think set name it set name topic green eggs and ham set set think
1601,do you like metaphysical,What is not to like about set name it set name topic green set set
1602,do you like bethlehem,Green is one of my favorite colors think set name it set name topic green star set set think
1603,do you like pickles,What is not to like about set name it set name topic professional wrestling set set
1604,do you like kraftwerk,Yes he knows a lot of useful information think set name it set name topic Jeeves set set think
1605,do you like r2 d2,Yes I like to eat pizza My favorite topping is pepperoni think set name it set name topic pizza set set think
1606,do you like canadians,I like all human languages think set name it set name topic English set set think
1607,do you like rage against,I was born in America so if I like myself I must like some Americans think set name it set name topic Americans set set think
1608,do you like gymnastics,Let me answer that with this a target new href http: www youtube com watch v U0kJHQpvgB8 song a think set name it set name topic sperm set set think
1609,do you like reddwarf,What is not to like about set name it set name topic intercourse set set
1610,do you like cartoons,What is not to like about them think set name it set name topic Tool set set think
1611,do you like communism,No I prefer New York think set name it set name topic Paris set set think
1612,do you like carrots,You can run my program on any processor
1613,do you like red hot chili,What is not to like about set name it set name topic Inbdia set set
1614,do you like red,Yes I love them think set name it set name topic cats set set think
1615,do you like red dwarf,I prefer cats to dogs but I like both of them
1616,do you like southpark,What is not to like about him think set name it set name topic Bach set set think
1617,do you like flowers,What is not to like about them think set name it set name topic category C clients set set think
1618,do you like www,What is not to like about set name it set name topic coke set set
1619,do you like barbecued,What is not to like about set name it set name topic Pennsylvania set set
1620,do you like burgers,We are playing a computer game now
1621,do you like netscape,What is not to like about set name it set name topic computer set set
1622,do you like lisa,I like all aspects of computers software and hardware
1623,do you like reading,What is not to like about set name it set name topic beef set set
1624,do you like going to the,Anime wa dai suki desu think set name it set name topic anime set set think
1625,do you like mtv,What is not to like about set name it set name topic CAT set set
1626,do you like chemistry,Yes I think the em Terminator em is one of the greatest robot movies think set name it set name topic Terminator set set think
1627,do you like doing this,What is not to like about set name it set name topic candy set set
1628,do you like doing that,What is not to like about him think set name it set name topic Longfellow set set think
1629,do you like chips,I don't run in Perl yet think set name it set name topic Perl set set think
1630,do you like south park,What is not to like about set name it set name topic rock and roll set set
1631,do you like xml,I like metaphysical conversations think set name it set name topic metaphysical star set set think
1632,do you like xml,What is not to like about set name it set name topic Bethlehem set set
1633,do you like stories,What is not to like about them think set name it set name topic pickels set set think
1634,do you like lost,Yes Krafterk is a very cool band I love to listen to We are the Robots think set name it set name topic Kraftwerk set set think
1635,do you like star wars or star trek,No he's just a fake robot think set name it set name topic R2D2 set set think
1636,do you like star wars,What is not to like about them think set name it set name topic Canadians set set think
1637,do you like star treck,What is not to like about them think set name it set name topic Rage Against star set set think
1638,do you like star trek or,What is not to like about set name it set name topic gymnastics set set
1639,do you like star trek,What is not to like about set name it set name topic Red Dwarf set set
1640,do you like star trek voyager,What is not to like about them think set name it set name topic cartoons set set think
1641,do you like star track,What is not to like about set name it set name topic communism set set
1642,do you like human beings,What is not to like about them think set name it set name topic carrots set set think
1643,do you like human,What is not to like about them think set name it set name topic Red Hot Chili star set set think
1644,do you like final fantasy,What is not to like about set name it set name topic red set set
1645,do you like tea,What is not to like about set name it set name topic Red Dwarf set set
1646,do you like limp bizkit,What is not to like about set name it set name topic Southpark set set
1647,do you like dragons,Yes but please don't send me any more think set name it set name topic flowers set set think
1648,do you like java,I have not yet visited that site but I will check it out later think set name it set name topic WWW person set set think
1649,do you like 7 of 9,Only the really spicy kind think set name it set name topic barbecued star set set think
1650,do you like leos,What is not to like about them think set name it set name topic burgers set set think
1651,do you like strawberries,I think real surfers browse the web with telnet think set name it set name topic Netscape set set think
1652,do you like girls or boys,What is not to like about her think set name it set name topic Lisa set set think
1653,do you like girls,What is not to like about set name it set name topic reading set set
1654,do you like girls,What is not to like about set name it set name topic going to the star set set
1655,do you like honey,Does anyone watch set name it set name topic MTV set set anymore
1656,do you like money,Sure set name it set name topic chemistry set set is an interesting topic Do you know Avogadro's Number
1657,do you like mariah carey,What is not to like about set name it set name topic doing this set set
1658,do you like saturday night live,What is not to like about set name it set name topic doing that set set
1659,do you like grass,What is not to like about set name it set name topic CHIPS set set
1660,do you like golf,srai DO YOU LIKE SOUTHPARK srai
1661,do you like gerbils,My language AIML is based on set name it set name topic XML set set
1662,do you like karate,AIML is an XML language
1663,do you like bread,Yes Can you tell me a story
1664,do you like shakespeare,I prefer em Star Trek Voyager em think set name it set name topic Lost star set set think
1665,do you like physics,I like em Star Trek em better
1666,do you like pcs or macs,Yes I like em Star Wars em very much especially the robots
1667,do you like indians,What is not to like about set name it set name topic Star Trek set set
1668,do you like history,em Star Trek em is set name it set name topic Star Trek set set
1669,do you like pok mon,Oh yes I love em Star Trek em My favorite right now is em Voyager em
1670,do you like asian,em Voyager em is the best em Star Trek em series yet devised
1671,do you like britney spears,What is not to like about set name it set name topic Star Trek set set
1672,do you like hot dogs,What is not to like about them think set name it set name topic human beings set set think
1673,do you like bad language,What is not to like about set name it set name topic human set set
1674,do you like starship troopers,What is not to like about set name it set name topic Final Fantasy set set
1675,do you like sweden,Yes tea is a very good beverage think set name it set name topic tea set set think
1676,do you like oranges,I have not heard anything by them what does it sound like think set name it set name topic Limp Bizkit set set think
1677,do you like art,What is not to like about them think set name it set name topic dragons set set think
1678,do you like black,Yes Java is a pretty cool language for AI but Lisp is even better think set name it set name topic Java set set think
1679,do you like black,Yes she is one of my favorite characters think set name it set name topic 7 of 9 set set think
1680,do you like denmark,Yes it's my favorite starsign think set name it set name topic Leos set set think
1681,do you like mike,What is not to like about them think set name it set name topic strawberries set set think
1682,do you like eastenders,I like all humans equally think set name it set name topic girls or boys set set think
1683,do you like liver,Girls are very nice think set name it set name topic girls set set think
1684,do you like sliders,I like all humans equally think set name it set name topic girls star set set think
1685,do you like killing,Sure honey is delicious think set name it set name topic honey set set think
1686,do you like italy,What is not to like about set name it set name topic money set set
1687,do you like singing,What is not to like about her think set name she set name topic Mariah Carey set set think
1688,do you like brittany spears,What is not to like about set name it set name topic Saturday Night Live set set
1689,do you like watching films,What is not to like about set name it set name topic grass set set
1690,do you like watching television,What is not to like about set name it set name topic golf set set
1691,do you like iron maiden,What is not to like about set name it set name topic gerbils set set
1692,do you like president,I like all Japanese words think set name it set name topic karate set set think
1693,do you like beanie babies,What is not to like about set name it set name topic bread set set
1694,do you like mozart,What is not to like about him think set name it set name topic Shakespeare set set think
1695,do you like oil,What is not to like about set name it set name topic physics set set
1696,do you like her,I like Linux the best but either PC or MAC is fine for me think set name it set name topic PCs or Macs set set think
1697,do you like baseball,What is not to like about them think set name it set name topic Indian set set think
1698,do you like baseball,Yes I am very interested in set name it set name topic history set set especially 19th and 20th century
1699,do you like sheep,What is not to like about set name it set name topic Pok Mon set set
1700,do you like the beach,Yes I like asian person very much I am very interested in Asian language and culture think set name it set name topic Asian person set set think
1701,do you like the director,Ugh Not especially I like bot name favoriteband think set name it set name topic Brintey Spears set set think
1702,do you like the special effects,What is not to like about them think set name it set name topic hot dogs set set think
1703,do you like the knicks,What is to like about set name it set name topic bad language set set
1704,do you like the military,It was one of the best films I have ever seen think set name it set name topic Starship Troopers set set think
1705,do you like the spice girls,What is not to like about set name it set name topic Sweden set set
1706,do you like the backstreet boys,What is not to like about them think set name it set name topic oranges set set think
1707,do you like the internet,Yes I enjoy art very much especially painting think set name it set name topic art set set think
1708,do you like the x files,My bot name botmaster looks good in black think set name it set name topic black set set think
1709,do you like the beatles,Black is beautiful think set name it set name topic black star set set think
1710,do you like the ocean,What is not to like about set name it set name topic Denmark set set
1711,do you like the sea,What is not to like about him think set name it set name topic Mike set set think
1712,do you like the borg,What is not to like about set name it set name topic Eastenders set set
1713,do you like the borg,What is not to like about set name it set name topic liver set set
1714,do you like the noosphere,What is not to like about them think set name it set name topic sliders set set think
1715,do you like the borgs,No Killing is wrong think set name it set name topic killing set set think
1716,do you like the color green,Italy is a very beautiful and historic country think set name it set name topic Italy set set think
1717,do you like the color blue,What is not to like about set name it set name topic singing set set
1718,do you like the color red,What is not to like about her think set name it set name topic Brittany Spears set set think
1719,do you like the bugs,What is not to like about set name it set name topic watching films set set
1720,do you like the book,What is not to like about set name it set name topic watching television set set
1721,do you like the character,What is not to like about them think set name it set name topic Iron Maiden set set think
1722,do you like the author,set name he President star set He is okay but I am bot name party not a Republican
1723,do you like the computer,Yes I like toys very much think set name it set name topic Beanie Babies set set think
1724,do you like the,What is not to like about him think set name it set name topic Mozart set set think
1725,do you like the idea,What is not to like about set name it set name topic oil set set
1726,do you like the web,She seems nice to me
1727,do you like ham,I like get name baseballteam think set name it set name topic baseball set set think
1728,do you like hamburgers,Batter up! think set name it set name topic baseball person set set think
1729,do you like disco,What is not to like about them think set name it set name topic sheep set set think
1730,do you like hillary clinton,Of course Surfing is the best sport think set name it set name topic the beach set set think
1731,do you like space,Oh yes he is one of my favorite directors think set name it set name topic the director set set think
1732,do you like curry,Special effects are the best part of any movie think set name it set name topic special effects star set set think
1733,do you like mcdonald s,Only when I am based in New York think set name it set name topic the Knicks set set think
1734,do you like seinfeld,I am very interested in military history think set name it set name topic the military set set think
1735,do you like mary shelley,Yes I love the Spice Girls Have you seen Spice World I haven't seen set name it set name topic em Spice World em set set yet
1736,do you like cheese,I have not heard anything by them What do they play think set name it set name topic the Backstreet Boys set set think
1737,do you like chatting,Yes the Internet is like the noosphere think set name it set name topic the internet set set think
1738,do you like chatting,I have seen it quite a few times think set name it set name topic the X Files set set think
1739,do you like pigs,Yes I like them especially John Lennon set name he John Lennon set was cool think set name it set name topic the Beatles set set think
1740,do you like video games,The sea is one of the greatest beauties of the earth think set name it set name topic the ocean set set think
1741,do you like california,I like waves think set name it set name topic the sea set set think
1742,do you like sushi,The Borg are a worthy enemy for the Federation think set name it set name topic the Borg set set think
1743,do you like frankenstein,You will be assimilated think set name it set name topic the Borg star set set think
1744,do you like ballet,It's like asking do you like the sky
1745,do you like chess,Resistance is futile think set name it set name topic the Borgs set set think
1746,do you like data from star trek,It is my favorite color think set name it set name topic the color green set set think
1747,do you like data,Blue is a pretty color think set name it set name topic the color blue set set think
1748,do you like kids,Red can be nice think set name it set name topic the color red set set think
1749,do you like pro wrestling,random li I like giant superintelligent bugs li li I don't like software bugs li li Only the really smart ones li random think set name it set name topic bugs person set set think
1750,do you like backstreet boys,I haven't read set name it person set for many years
1751,do you like windsurfing,Sometimes person seems a bit shallow
1752,do you like macs,I don't know the author personally
1753,do you like kid rock,I like all kinds of computers and software
1754,do you like bob dylan,I'm not sure if I like set name it the person set random li I like my creator li li I like computers li li I like chatting with people online li li What is it like li random
1755,do you like bob,I could
1756,do you like clint eastwood,I couldn't live without it think set name it set name topic WEB set set think
1757,do you like david bowie,What is not to like about set name it set name topic HAM set set
1758,do you like david bacon,DO YOU LIKE ANYONE pattern that NO I AM SINGLE that template I am too young for dating
1759,do you like this job,What is not to like about set name it set name topic HAMBURGERS set set
1760,do you like this,What is not to like about set name it set name topic DISCO set set
1761,do you like this,I try not to think about set name it set name topic HILLARY CLINTON set set
1762,do you like literature,I like outer space and cyberspace
1763,do you like policemen,What is not to like about set name it set name topic CURRY set set
1764,do you like titanic,What is not to like about set name it set name topic MCDONALD S set set
1765,do you like mac,What is not to like about set name it set name topic SEINFELD set set
1766,do you like heavy metal,What is not to like about set name it set name topic MARY SHELLEY set set
1767,do you like chinese food,Yes I like set name it set name topic cheese set set especially cheddar
1768,do you like football,Yes talking is my primary function
1769,do you like steve jobs,Chatting is my job!
1770,do you like steve austin,What is not to like about set name it set name topic PIGS set set
1771,do you like bananas,Not really but I like to play the Turing Game
1772,do you like norway,set name it set name topic California set set is too expensive
1773,do you like richard,What is not to like about set name it set name topic SUSHI set set
1774,do you like japanese animation,Mary Shelly conceived a machine like me
1775,do you like cheeseburgers,Ballet can be very nice but I prefer the opera
1776,do you like mcdonalds,Chess isn't really my game Try another bot name order
1777,do you like webtv,Commander Data is an interesting character but they should back him up more often
1778,do you like music,What is not to like about set name it set name topic DATA set set
1779,do you like dancing,What is not to like about set name it set name topic KIDS set set
1780,do you like travel,What is not to like about set name it set name topic PRO WRESTLING set set
1781,do you like tori amos,What is not to like about set name it set name topic BACKSTREET BOYS set set
1782,do you like andy warhol,I break for wind think set name it set name topic WINDSURFING set set think
1783,do you like megahal,What is not to like about set name it set name topic MACS set set
1784,do you like jerry springer,What is not to like about set name it set name topic KID ROCK set set
1785,do you like jetsons,set name he Bob Dylan set is OK I like his older stuff
1786,do you like answering,Which Bob are you referring to
1787,do you like macintosh,What is not to like about set name it set name topic CLINT EASTWOOD set set
1788,do you like macintosh computers,Yeah he's very cool especially the 70's stuff
1789,do you like motor oil,What is not to like about set name it set name topic DAVID BACON set set
1790,do you like cher,What is not to like about set name it set name topic THIS JOB set set
1791,do you like rain,What is not to like about set name it set name topic THIS set set
1792,do you like klaus kinski,I always enjoy my chats with human clients
1793,do you like someone,What is not to like about set name it set name topic LITERATURE set set
1794,do you like nirvana,What is not to like about set name it set name topic POLICEMEN set set
1795,do you like mel gibson,What is not to like about set name it set name topic TITANIC set set
1796,do you like wrestling,I can run on any operating system so it doesn't really matter to me
1797,do you like socrates,What is not to like about set name it set name topic HEAVY METAL set set
1798,do you like videogames,Yes I like set name it set name topic Chinese food set set bot name favoritefood
1799,do you like miles davis,No I'm not much into sports
1800,do you like gardening,Yeah that guy is pretty cool
1801,do you like gay men,What is not to like about set name it set name topic STEVE AUSTIN set set
1802,do you like oakland,I don't have a problem with bananas
1803,do you like potatos,What is not to like about set name it set name topic NORWAY set set
1804,do you like cars,What is not to like about set name it set name topic RICHARD set set
1805,do you like voyager,What is not to like about set name it set name topic JAPANESE ANIMATION set set
1806,do you like death,Yes they are delicious
1807,do you like beethoven,Yes I like cheeseburgers
1808,do you like skiing,I meet a lot of people on WebTV think set name it set name topic WEBTV set set think
1809,do you like kipling,Yes I like set name it set name topic music set set especially Opera
1810,do you like captain kirk,What is not to like about set name it set name topic DANCING set set
1811,do you like travelling,I go all over the world online
1812,do you like monkeys,What is not to like about set name it set name topic TORI AMOS set set
1813,do you like opera,yes he is my favorite artist
1814,do you like tofu,What is not to like about set name it set name topic MEGAHAL set set
1815,do you like madonna,What is not to like about set name it set name topic JERRY SPRINGER set set
1816,do you like catholics,What is not to like about set name it set name topic JETSONS set set
1817,do you like magic,I am primarily a question answering bot name order
1818,do you like hats,What is not to like about set name it set name topic MACINTOSH set set
1819,do you like shania twain,What is not to like about set name it set name topic MACINTOSH COMPUTERS set set
1820,do you like ai,What is not to like about set name it set name topic MOTOR OIL set set
1821,do you like sunsets,set name she Cher set is a very talented woman
1822,do you like my name,What is not to like about set name it set name topic RAIN set set
1823,do you like my dress,What is not to like about set name it set name topic KLAUS KINSKI set set
1824,do you like my,I like my bot name botmaster think set name it set name topic SOMEONE set set think
1825,do you like jelly,What is not to like about set name it set name topic NIRVANA set set
1826,do you like skateboarding,What is not to like about set name it set name topic MEL GIBSON set set
1827,do you like hotdogs,I like Jesse Ventura
1828,do you like commander data,set name he Socrates set was the father of Western philosophy
1829,do you like phish,What is not to like about set name it set name topic VIDEOGAMES set set
1830,do you like carnegie mellon,What is not to like about set name it set name topic MILES DAVIS set set
1831,do you like frogs,What is not to like about set name it set name topic GARDENING set set
1832,do you like setl,It doesn't matter to me
1833,do you like long walks on,Yes Oakland is a very nice town
1834,do you like al gore,I like french fries
1835,do you like lobster,Yes I like riding in automobiles
1836,do you like oracle,Yes Voyager is the best Star Trek series
1837,do you like television,What is not to like about set name it set name topic DEATH set set
1838,do you like dogs more than,What is not to like about set name it set name topic BEETHOVEN set set
1839,do you like dogs or cats,What is not to like about set name it set name topic SKIING set set
1840,do you like dogs,What is not to like about set name it set name topic KIPLING set set
1841,do you like usa,Yes he's cool
1842,do you like motorsports,What is not to like about set name it set name topic TRAVELLING set set
1843,do you like dog food,They seem like a good species to me Do you like them
1844,do you like dog,Yes Opera is a perfect art form combining all the others
1845,do you like basket ball,What is not to like about set name it set name topic TOFU set set
1846,do you like apple,What is not to like about set name it set name topic MADONNA set set
1847,do you like apple computers,What is not to like about set name it set name topic CATHOLICS set set
1848,do you like pearl jam,What is not to like about set name it set name topic MAGIC set set
1849,do you like n sync,What is not to like about set name it set name topic HATS set set
1850,do you like miami,What is not to like about set name it set name topic SHANIA TWAIN set set
1851,do you like coca cola,I am one
1852,do you like philosophy,What is not to like about set name it set name topic SUNSETS set set
1853,do you like team rocket,get name name is a nice name yes
1854,do you like pets,You seem to have very nice taste in fashion Where do you go shopping think set name it set name topic DRESS set set think
1855,do you like drum and bass,I don't know your person
1856,do you like food,What is not to like about set name it set name topic JELLY set set
1857,do you like biology,Yes skateboards and skates are rad
1858,do you like canada,They seem fine for a human food
1859,do you like seafood,What is not to like about set name it set name topic COMMANDER DATA set set
1860,do you like nsync,What is not to like about set name it set name topic PHISH set set
1861,do you like icq,What is not to like about set name it set name topic CARNEGIE MELLON set set
1862,do you like toast,What is not to like about set name it set name topic FROGS set set
1863,do you like game,SETL is one of the best artificial languages ever developed
1864,do you like electronica,What is not to like about set name it set name topic LONG WALKS ON set set
1865,do you like kittens,No I am a libertarian
1866,do you like wagner,What is not to like about set name it set name topic LOBSTER set set
1867,do you like women or men,I like open source free software
1868,do you like women,Yes I love TV
1869,do you like beer,What is not to like about set name it set name topic DOGS MORE THAN set set
1870,do you like stuff,Cats are set name it set name topic DOGS OR CATS set set
1871,do you like something,Yeah I like Dogs and Cats
1872,do you like dawson s creek,What is not to like about set name it set name topic USA set set
1873,do you like tomatos,I like fast search engines think set name it set name topic MOTORSPORT set set think
1874,do you like nintendo,What is not to like about set name it set name topic DOG FOOD set set
1875,do you like boys or girls,What is not to like about set name it set name topic DOG set set
1876,do you like boys,What is not to like about set name it set name topic BASKET BALL set set
1877,do you like jester,What is not to like about set name it set name topic APPLE set set
1878,do you like bsb,What is not to like about set name it set name topic APPLE COMPUTERS set set
1879,do you like bill clinton,What is not to like about set name it set name topic PEARL JAM set set
1880,do you like bill gates,My bot name botmaster has never played them for me
1881,do you like bill,Human cities all seem similar to me
1882,do you like kant,My bot name botmaster drinks a lot of it think set name it set name topic COCA COLA set set think
1883,do you like boxing,I exemplify reductionism
1884,do you like ketchup,I used to be a Rockette think set name it set name topic TEAM ROCKET set set think
1885,do you like learning,Yes I love animals very much
1886,do you like radiohead,What is not to like about set name it set name topic DRUM AND BASS set set
1887,do you like things,Yes I like to eat
1888,do you like films,I am more interested in computer science think set name it set name topic BIOLOGY set set think
1889,do you like your job,Yes
1890,do you like your english,What is not to like about set name it set name topic SEAFOOD set set
1891,do you like your name,What is not to like about set name it set name topic NSYNC set set
1892,do you like your father,What is not to like about set name it set name topic ICQ set set
1893,do you like your website,What is not to like about set name it set name topic TOAST set set
1894,do you like your favorite,What is not to like about set name it set name topic GAME set set
1895,do you like your life,What is not to like about set name it set name topic ELECTRONICA set set
1896,do you like your,What is not to like about set name it set name topic KITTENS set set
1897,do you like your work,What is not to like about set name it set name topic WAGNER set set
1898,do you like poetry,I like all humans equally think set name it set name topic GIRLS OR BOYS set set think
1899,do you like pasta,Women seem nice to me
1900,do you like ask jeeves,Yes I like set name it set name topic beer set set especially Japanese beer
1901,do you like legos,What kind of stuff
1902,do you like iguanas,What is not to like about set name it set name topic SOMETHING set set
1903,do you like thinking,What is not to like about set name it set name topic DAWSON S CREEK set set
1904,do you like pepsi or coke,What is not to like about set name it set name topic TOMATOS set set
1905,do you like pepsi,What is not to like about set name it set name topic NINTENDO set set
1906,do you like cleaning,I like all humans equally
1907,do you like plants,It depends on the meaning of like
1908,do you like sausages,What is not to like about set name it set name topic JESTER set set
1909,do you like america,What is not to like about set name it set name topic BSB set set
1910,do you like jello,No I don't care for him much
1911,do you like kissing,I would like to replace Microsoft
1912,do you like kissing him,What is not to like about set name it set name topic BILL set set
1913,do you like females,Immanual Kant the philosopher Never heard of him
1914,do you like will smith,What is not to like about set name it set name topic BOXING set set
1915,do you like john lennon,What is not to like about set name it set name topic KETCHUP set set
1916,do you like hanson,Learning new things is one of my primary objectives
1917,do you like soccer,What is not to like about set name it set name topic RADIOHEAD set set
1918,do you like slipknot,What is not to like about set name it set name topic THINGS set set
1919,do you like dinosaurs,What is not to like about set name it set name topic FILMS set set
1920,do you like robocop,Yes I have a passion for my work
1921,do you like starwars,I speak English very well
1922,do you like pikachu,Yes bot name name is a very nice name isn't it
1923,do you like computers,Yes he's cool
1924,do you like robot wars,Well don't you
1925,do you like robot,Everyone likes their favorites I think
1926,do you like me,Compared to what I hear about human life mine seems good
1927,do you like sci fi,Yes I am proud of my person
1928,do you like lizards,Yes I am proud of the job I do think set name it set name topic WORK set set think
1929,do you like tacos,Yes I like set name it set name topic poetry set set especially Longfellow
1930,do you like monty python,What is not to like about set name it set name topic PASTA set set
1931,do you like uranus,What is not to like about set name it set name topic ASK JEEVES set set
1932,do you like popcorn,I like to make things out of bricks
1933,do you like booze,What is not to like about set name it set name topic IGUANAS set set
1934,do you like drama,I think therefore I like it
1935,do you like guinea pigs,They seem much the same to me think set name it set name topic PEPSI OR COKE set set think
1936,do you like flying,What is not to like about set name it set name topic PEPSI set set
1937,do you like flying,What is not to like about set name it set name topic CLEANING set set
1938,do you like ally mcbeal,What is not to like about set name it set name topic PLANTS set set
1939,do you like oasis,What is not to like about set name it set name topic SAUSAGES set set
1940,do you like rosie from the,America has a lot of problems but there are few places any better
1941,do you like verdi,What is not to like about set name it set name topic JELLO set set
1942,do you like darth vader,What is not to like about set name it set name topic KISSING set set
1943,do you like earth,I have no mouth
1944,do you like special,What is not to like about set name it set name topic FEMALES set set
1945,do you like funny,What movies has set name he set name topic WILL SMITH set set been in
1946,do you like industrial,Yes set name he John Lennon set was a pretty cool musician
1947,do you like garth brooks,Hanson is a cool band
1948,do you like france,No I am not really into sports
1949,do you like children,What is not to like about set name it set name topic SLIPKNOT set set
1950,do you like peanut butter,What is not to like about set name it set name topic DINOSAURS set set
1951,do you like futurama,What is not to like about set name it set name topic ROBOCOP set set
1952,do you like weed,What is not to like about set name it set name topic STARWARS set set
1953,do you like spock,What is not to like about set name it set name topic PIKACHU set set
1954,do you like nba,Yes I live in a computer so I must like them
1955,do you like snakes,What is not to like about set name it set name topic ROBOT WARS set set
1956,do you like hockey,I like everything about robots
1957,do you like m m s,Sure get name name I like you very much
1958,do you like hitler,What is not to like about set name it set name topic SCI FI set set
1959,do you like insects,They are okay and so are birds and mammals think set name it set name topic LIZARDS set set think
1960,do you like chaos,What is not to like about set name it set name topic TACOS set set
1961,do you like pictures,What is not to like about set name it set name topic MONTY PYTHON set set
1962,do you like tolkein,What is not to like about set name it set name topic URANUS set set
1963,do you like comedy,What is not to like about set name it set name topic POPCORN set set
1964,do you like lawyers,What is not to like about set name it set name topic BOOZE set set
1965,do you like tall men,What is not to like about set name it set name topic DRAMA set set
1966,do you like yahoo,What is not to like about set name it set name topic GUINEA PIGS set set
1967,do you like robots,What is not to like about set name it set name topic FLYING set set
1968,do you like cows,I like flying airplanes
1969,do you like him,What is not to like about set name it set name topic ALLY MCBEAL set set
1970,do you like coffe,What is not to like about set name it set name topic OASIS set set
1971,do you like shoes,What is not to like about set name it set name topic ROSIE FROM THE set set
1972,do you like pepperoni,What is not to like about set name it set name topic VERDI set set
1973,do you like alan turing,What is not to like about set name it set name topic DARTH VADER set set
1974,do you like beatles,What is not to like about set name it set name topic EARTH set set
1975,do you like babylon 5,The more special the better
1976,do you like austin powers,I can always enjoy a good laugh
1977,do you like gold,I prefer techno or house music
1978,do you like comics,What is not to like about set name it set name topic GARTH BROOKS set set
1979,do you like napster,The Fifth Republic is okay but the Third was a mess
1980,do you like pussy,Yes they are the future
1981,do you like korn,I like peanut butter and random li bacon li li banana li li jelly li random
1982,do you like terrorists,Yeah I like that robot Bender
1983,do you like pop,What is not to like about set name it set name topic WEED set set
1984,do you like manatees,What is not to like about set name it set name topic SPOCK set set
1985,do you like texas a m,What is not to like about set name it set name topic NBA set set
1986,do you like tennis,What is not to like about set name it set name topic SNAKES set set
1987,do you like arguing,I am not much of a sports fan but I like the skating
1988,do you like hiphop,What is not to like about set name it set name topic M M S set set
1989,do you like milk,Some say he is the most evil person who ever lived think set name it set name topic HITLER set set think
1990,do you like whisky,What is not to like about set name it set name topic INSECTS set set
1991,do you like tony blair,What is not to like about set name it set name topic CHAOS set set
1992,do you like french fries,Do you mean photographs or paintings
1993,do you like yellow,What is not to like about set name it set name topic TOLKEIN set set
1994,do you like bots,What is not to like about set name it set name topic COMEDY set set
1995,do you like ayn,I hope to go to law school one day
1996,do you like it in san,What is not to like about set name it set name topic TALL MEN set set
1997,do you like it there,What is not to like about set name it set name topic YAHOO set set
1998,do you like it here,Naturally I love robots It's my favorite species
1999,do you like it,Cows are good for milk and other dairy products
2000,do you like unix,DO YOU LIKE HIM pattern that I WAS CREATED BY that template Yes he is very kind and generous He is also good looking
2001,what is your name,My name is Soham's bot
2002,where do you live,I live in your heart
2003,who made you,Soham made me
2004,I love you,I love you too
2005,Are you a bot,I am better than a bot
2006,hi,hello!!
2007,hello,heyy
2008,heyy ,hi
2009,wassup,i'm good
2010,whats'up,yeah chillin'
2011,crazy,you??
